,Company Name,Symbol,Market,Price,Shares,Offer Amount,Date Priced,URL
147,FIRST SECURITY GROUP INC/TN,FSGI,NASDAQ,$10,"4,500,000","$45,000,000",8/10/2005,http://www.nasdaq.com/markets/ipos/company/first-security-group-inctn-85698-45016
148,"COLEY PHARMACEUTICAL GROUP, INC.",COLY,NASDAQ,$16,"6,000,000","$96,000,000",8/10/2005,http://www.nasdaq.com/markets/ipos/company/coley-pharmaceutical-group-inc-671106-44168
149,"CHINA MEDICAL TECHNOLOGIES, INC.",CMED,NASDAQ,$15,"6,400,000","$96,000,000",8/10/2005,http://www.nasdaq.com/markets/ipos/company/china-medical-technologies-inc-679872-45490
150,"RUTHS HOSPITALITY GROUP, INC.",RUTH,NASDAQ,$18,"13,000,000","$234,000,000",8/9/2005,http://www.nasdaq.com/markets/ipos/company/ruths-hospitality-group-inc-671495-44228
151,"JAMES RIVER GROUP, INC",JRVR,NASDAQ,$18,"4,444,000","$79,992,000",8/9/2005,http://www.nasdaq.com/markets/ipos/company/james-river-group-inc-672682-44429
152,"K&F INDUSTRIES HOLDINGS, INC.",KFI,New York Stock Exchange,$17.50,"18,000,000","$315,000,000",8/9/2005,http://www.nasdaq.com/markets/ipos/company/kf-industries-holdings-inc-656865-44712
153,SEASPAN CORP,SSW,New York Stock Exchange,$21,"28,570,000","$599,970,000",8/9/2005,http://www.nasdaq.com/markets/ipos/company/seaspan-corp-680275-45575
154,CHARDAN NORTH CHINA ACQUISITION CORP,CNCAU,OTCBB,$6,"5,000,000","$30,000,000",8/5/2005,http://www.nasdaq.com/markets/ipos/company/chardan-north-china-acquisition-corp-674284-44668
155,"BAIDU, INC.",BIDU,NASDAQ,$27,"4,040,402","$109,090,854",8/5/2005,http://www.nasdaq.com/markets/ipos/company/baidu-inc-679501-45436
156,"ADVANCED LIFE SCIENCES HOLDINGS, INC.",ADLS,NASDAQ,$5,"7,000,000","$35,000,000",8/5/2005,http://www.nasdaq.com/markets/ipos/company/advanced-life-sciences-holdings-inc-671915-44300
157,"ATRICURE, INC.",ATRC,NASDAQ,$12,"4,000,000","$48,000,000",8/5/2005,http://www.nasdaq.com/markets/ipos/company/atricure-inc-671172-44184
158,CHARDAN SOUTH CHINA ACQUISITION CORP,CSCAU,OTCBB,$6,"5,000,000","$30,000,000",8/5/2005,http://www.nasdaq.com/markets/ipos/company/chardan-south-china-acquisition-corp-674285-44669
159,DRESSER-RAND GROUP INC.,DRC,New York Stock Exchange,$21,"27,000,000","$567,000,000",8/5/2005,http://www.nasdaq.com/markets/ipos/company/dresserrand-group-inc-664078-44639
160,HOKU CORP,HOKU,NASDAQ,$6,"3,500,000","$21,000,000",8/5/2005,http://www.nasdaq.com/markets/ipos/company/hoku-corp-374587-44318
161,ADVANCED ANALOGIC TECHNOLOGIES INC,AATI,NASDAQ,$10,"10,600,000","$106,000,000",8/4/2005,http://www.nasdaq.com/markets/ipos/company/advanced-analogic-technologies-inc-206503-43946
162,ESCHELON TELECOM INC,ESCH,NASDAQ,$14,"5,357,143","$75,000,002",8/4/2005,http://www.nasdaq.com/markets/ipos/company/eschelon-telecom-inc-75321-44488
163,"WORLDSPACE, INC",WRSP,NASDAQ,$21,"11,868,400","$249,236,400",8/4/2005,http://www.nasdaq.com/markets/ipos/company/worldspace-inc-670373-44089
164,UNICA CORP,UNCA,NASDAQ,$10,"4,800,000","$48,000,000",8/3/2005,http://www.nasdaq.com/markets/ipos/company/unica-corp-167845-42122
165,"MWI VETERINARY SUPPLY, INC.",MWIV,NASDAQ,$17,"4,333,334","$73,666,678",8/3/2005,http://www.nasdaq.com/markets/ipos/company/mwi-veterinary-supply-inc-671422-44217
166,"REPUBLIC COMPANIES GROUP, INC.",RUTX,NASDAQ,$14,"6,000,000","$84,000,000",8/3/2005,http://www.nasdaq.com/markets/ipos/company/republic-companies-group-inc-673345-44522
167,PARENT CO,BUN,American Stock Exchange,$9.50,"2,000,000","$19,000,000",8/3/2005,http://www.nasdaq.com/markets/ipos/company/parent-co-671913-44298
168,"STATE NATIONAL BANCSHARES, INC.",SNBI,NASDAQ,$26,"1,907,692","$49,599,992",9/30/2005,http://www.nasdaq.com/markets/ipos/company/state-national-bancshares-inc-680370-45581
169,CIMPRESS N.V.,VPRT,NASDAQ,$12,"10,015,930","$120,191,160",9/30/2005,http://www.nasdaq.com/markets/ipos/company/cimpress-nv-594329-44891
170,WEBMD HEALTH CORP.,WBMD,NASDAQ,$17.50,"6,900,000","$120,750,000",9/29/2005,http://www.nasdaq.com/markets/ipos/company/webmd-health-corp-673669-44561
171,TALEO CORP,TLEO,NASDAQ,$14,"6,700,000","$93,800,000",9/29/2005,http://www.nasdaq.com/markets/ipos/company/taleo-corp-175850-38693
172,GENOMIC HEALTH INC,GHDX,NASDAQ,$12,"5,016,722","$60,200,664",9/29/2005,http://www.nasdaq.com/markets/ipos/company/genomic-health-inc-105082-45486
173,GLOBAL PARTNERS LP,GLP,New York Stock Exchange,$22,"4,900,000","$107,800,000",9/29/2005,http://www.nasdaq.com/markets/ipos/company/global-partners-lp-673344-44521
174,AVALON PHARMACEUTICALS INC,AVRX,NASDAQ,$10.50,"2,750,000","$28,875,000",9/29/2005,http://www.nasdaq.com/markets/ipos/company/avalon-pharmaceuticals-inc-141160-44414
175,"CARIBOU COFFEE COMPANY, INC.",CBOU,NASDAQ,$14,"5,358,000","$75,012,000",9/29/2005,http://www.nasdaq.com/markets/ipos/company/caribou-coffee-company-inc-680092-45528
176,ITURAN LOCATION & CONTROL LTD.,ITRN,NASDAQ,$13,"4,800,000","$62,400,000",9/28/2005,http://www.nasdaq.com/markets/ipos/company/ituran-location-control-ltd-684417-46265
177,"HORIZON LINES, INC.",HRZ,New York Stock Exchange,$10,"12,500,000","$125,000,000",9/27/2005,http://www.nasdaq.com/markets/ipos/company/horizon-lines-inc-648987-43539
178,TRX INC/GA,TRXI,NASDAQ,$9,"6,800,000","$61,200,000",9/27/2005,http://www.nasdaq.com/markets/ipos/company/trx-incga-73428-44512
179,SUNESIS PHARMACEUTICALS INC,SNSS,NASDAQ,$7,"6,000,000","$42,000,000",9/27/2005,http://www.nasdaq.com/markets/ipos/company/sunesis-pharmaceuticals-inc-376501-42691
180,EVERI HOLDINGS INC.,GCA,New York Stock Exchange,$14,"16,064,157","$224,898,198",9/23/2005,http://www.nasdaq.com/markets/ipos/company/everi-holdings-inc-668223-43769
181,NORTH POINTE HOLDINGS CORP,NPTE,NASDAQ,$12,"4,000,000","$48,000,000",9/23/2005,http://www.nasdaq.com/markets/ipos/company/north-pointe-holdings-corp-107418-43027
182,"IKANOS COMMUNICATIONS, INC.",IKAN,NASDAQ,$12,"6,400,000","$76,800,000",9/22/2005,http://www.nasdaq.com/markets/ipos/company/ikanos-communications-inc-397850-40170
183,NEXITY FINANCIAL CORP,NXTY,NASDAQ,$16,"1,700,000","$27,200,000",9/21/2005,http://www.nasdaq.com/markets/ipos/company/nexity-financial-corp-107632-45848
184,WILLIAMS SCOTSMAN INTERNATIONAL INC,WLSC,NASDAQ,$16,"15,325,837","$245,213,392",9/20/2005,http://www.nasdaq.com/markets/ipos/company/williams-scotsman-international-inc-29142-44355
185,U.S. HELICOPTER CORP,USHP,OTCBB,$0.75,"10,590,553","$7,942,915",9/20/2005,http://www.nasdaq.com/markets/ipos/company/us-helicopter-corp-658138-44215
186,EQUITY MEDIA HOLDINGS CORP,CNUTU,OTCBB,$6,"10,000,000","$60,000,000",9/9/2005,http://www.nasdaq.com/markets/ipos/company/equity-media-holdings-corp-674786-44705
187,"NET ELEMENT, INC.",SPLX,OTCBB,$0.25,"39,617,181","$9,904,295",9/8/2005,http://www.nasdaq.com/markets/ipos/company/net-element-inc-640903-40144
188,ACCENTIA BIOPHARMACEUTICALS INC,ABPI,NASDAQ,$8,"2,400,000","$19,200,000",10/28/2005,http://www.nasdaq.com/markets/ipos/company/accentia-biopharmaceuticals-inc-656396-43361
189,"MELA SCIENCES, INC. /NY",MELA,NASDAQ,$5,"4,000,000","$20,000,000",10/28/2005,http://www.nasdaq.com/markets/ipos/company/mela-sciences-inc-ny-170492-44907
190,"TH MERGER COMPANY, LLC",CSA,New York Stock Exchange,$17,"5,800,000","$98,600,000",10/27/2005,http://www.nasdaq.com/markets/ipos/company/th-merger-company-llc-682510-45886
191,"HERCULES OFFSHORE, INC.",HERO,NASDAQ,$20,"9,200,000","$184,000,000",10/27/2005,http://www.nasdaq.com/markets/ipos/company/hercules-offshore-inc-679189-45386
192,SAJAN INC,MATH,NASDAQ,$6,"4,000,000","$24,000,000",10/27/2005,http://www.nasdaq.com/markets/ipos/company/sajan-inc-106191-45782
193,"NXSTAGE MEDICAL, INC.",NXTM,NASDAQ,$10,"5,500,000","$55,000,000",10/27/2005,http://www.nasdaq.com/markets/ipos/company/nxstage-medical-inc-680141-45546
194,PLATINUM ENERGY RESOURCES INC,PGRIU,OTCBB,$8,"14,400,000","$115,200,000",10/26/2005,http://www.nasdaq.com/markets/ipos/company/platinum-energy-resources-inc-676587-45004
195,HALITRON INC,TKNK,OTCBB,$2.50,"4,440,000","$11,100,000",10/26/2005,http://www.nasdaq.com/markets/ipos/company/halitron-inc-646100-40820
196,KEY HOSPITALITY ACQUISITION CORP,KHPAU,OTCBB,$8,"6,000,000","$48,000,000",10/25/2005,http://www.nasdaq.com/markets/ipos/company/key-hospitality-acquisition-corp-674274-44664
197,CHEM RX CORP,PMQCU,OTCBB,$6,"8,500,000","$51,000,000",10/24/2005,http://www.nasdaq.com/markets/ipos/company/chem-rx-corp-681696-45771
198,"NCI, INC.",NCIT,NASDAQ,$10.50,"5,150,000","$54,075,000",10/24/2005,http://www.nasdaq.com/markets/ipos/company/nci-inc-681145-45687
199,ATS CORP,FDSAU,OTCBB,$6,"21,000,000","$126,000,000",10/20/2005,http://www.nasdaq.com/markets/ipos/company/ats-corp-672842-44442
200,CBOT HOLDINGS  INC,BOT,New York Stock Exchange,$54,"3,191,489","$172,340,406",10/19/2005,http://www.nasdaq.com/markets/ipos/company/cbot-holdings-inc-92026-44502
201,"POKERTEK, INC.",PTEK,NASDAQ,$11,"2,000,000","$22,000,000",10/14/2005,http://www.nasdaq.com/markets/ipos/company/pokertek-inc-648311-45798
202,"DHT HOLDINGS, INC.",DHT,New York Stock Exchange,$12,"16,000,000","$192,000,000",10/13/2005,http://www.nasdaq.com/markets/ipos/company/dht-holdings-inc-685857-46544
203,"TAL INTERNATIONAL GROUP, INC.",TAL,New York Stock Exchange,$18,"11,500,000","$207,000,000",10/12/2005,http://www.nasdaq.com/markets/ipos/company/tal-international-group-inc-678677-45306
204,INVESTORS BANCORP INC,ISBC,NASDAQ,$10,"44,893,125","$448,931,250",10/12/2005,http://www.nasdaq.com/markets/ipos/company/investors-bancorp-inc-676673-45009
205,AMERICAN COMMERCIAL LINES INC.,ACLI,NASDAQ,$21,"8,250,000","$173,250,000",10/7/2005,http://www.nasdaq.com/markets/ipos/company/american-commercial-lines-inc-680121-45535
206,STEALTHGAS INC.,GASS,NASDAQ,$14.50,"8,000,000","$116,000,000",10/6/2005,http://www.nasdaq.com/markets/ipos/company/stealthgas-inc-683955-46161
207,WATERSTONE FINANCIAL INC,WAUW,NASDAQ,$10,"8,797,500","$87,975,000",10/5/2005,http://www.nasdaq.com/markets/ipos/company/waterstone-financial-inc-676708-45014
208,GUARANTY BANCORP,CBHI,NASDAQ,$12.50,"50,637,923","$632,974,038",10/3/2005,http://www.nasdaq.com/markets/ipos/company/guaranty-bancorp-673793-44576
209,"ACTIONS SEMICONDUCTOR CO., LTD.",ACTS,NASDAQ,$8,"9,000,000","$72,000,000",11/30/2005,http://www.nasdaq.com/markets/ipos/company/actions-semiconductor-co-ltd-688777-47020
210,BROOKDALE SENIOR LIVING INC.,BKD,New York Stock Exchange,$19,"11,072,000","$210,368,000",11/22/2005,http://www.nasdaq.com/markets/ipos/company/brookdale-senior-living-inc-682460-45875
211,TRONOX INC,TRX,New York Stock Exchange,$14,"17,480,000","$244,720,000",11/22/2005,http://www.nasdaq.com/markets/ipos/company/tronox-inc-676203-44935
212,UNION DRILLING INC,UDRL,NASDAQ,$14,"8,823,530","$123,529,420",11/22/2005,http://www.nasdaq.com/markets/ipos/company/union-drilling-inc-89011-45947
213,"UNDER ARMOUR, INC.",UARM,NASDAQ,$13,"12,124,000","$157,612,000",11/18/2005,http://www.nasdaq.com/markets/ipos/company/under-armour-inc-683860-46128
214,AMERISAFE INC,AMSF,NASDAQ,$9,"8,000,000","$72,000,000",11/18/2005,http://www.nasdaq.com/markets/ipos/company/amerisafe-inc-32163-45762
215,DOVER SADDLERY INC,DOVR,NASDAQ,$10,"2,750,000","$27,500,000",11/18/2005,http://www.nasdaq.com/markets/ipos/company/dover-saddlery-inc-232060-46151
216,SUNPOWER CORP,SPWR,NASDAQ,$18,"7,700,000","$138,600,000",11/17/2005,http://www.nasdaq.com/markets/ipos/company/sunpower-corp-114337-46125
217,"INTERCONTINENTAL EXCHANGE HOLDINGS, INC.",ICE,New York Stock Exchange,$26,"16,000,000","$416,000,000",11/16/2005,http://www.nasdaq.com/markets/ipos/company/intercontinental-exchange-holdings-inc-665311-43762
218,VIMICRO INTERNATIONAL CORP,VIMC,NASDAQ,$10,"8,697,063","$86,970,630",11/15/2005,http://www.nasdaq.com/markets/ipos/company/vimicro-international-corp-688789-47027
219,"CLEAR CHANNEL OUTDOOR HOLDINGS, INC.",CCO,New York Stock Exchange,$18,"35,000,000","$630,000,000",11/11/2005,http://www.nasdaq.com/markets/ipos/company/clear-channel-outdoor-holdings-inc-682462-45876
220,IHS INC.,IHS,New York Stock Exchange,$16,"14,515,000","$232,240,000",11/11/2005,http://www.nasdaq.com/markets/ipos/company/ihs-inc-663234-43225
221,COLD SPRING CAPITAL INC.,CDS.U,American Stock Exchange,$6,"20,000,000","$120,000,000",11/10/2005,http://www.nasdaq.com/markets/ipos/company/cold-spring-capital-inc-677293-45080
222,SAIFUN SEMICONDUCTORS LTD.,SFUN,NASDAQ,$23.50,"5,000,000","$117,500,000",11/10/2005,http://www.nasdaq.com/markets/ipos/company/saifun-semiconductors-ltd-688583-46998
223,"EPIRUS BIOPHARMACEUTICALS, INC.",CRXX,NASDAQ,$7,"6,000,000","$42,000,000",11/9/2005,http://www.nasdaq.com/markets/ipos/company/epirus-biopharmaceuticals-inc-379664-42452
224,IROBOT CORP,IRBT,NASDAQ,$24,"4,300,000","$103,200,000",11/9/2005,http://www.nasdaq.com/markets/ipos/company/irobot-corp-148691-45639
225,"BOARDWALK PIPELINE PARTNERS, LP",BWP,New York Stock Exchange,$19.50,"15,000,000","$292,500,000",11/9/2005,http://www.nasdaq.com/markets/ipos/company/boardwalk-pipeline-partners-lp-682977-45976
226,"CBEYOND, INC.",CBEY,NASDAQ,$12,"6,132,353","$73,588,236",11/2/2005,http://www.nasdaq.com/markets/ipos/company/cbeyond-inc-385163-44643
227,"NEWKIRK REALTY TRUST, INC.",NKT,New York Stock Exchange,$16,"15,000,000","$240,000,000",11/2/2005,http://www.nasdaq.com/markets/ipos/company/newkirk-realty-trust-inc-682137-45842
228,"WEB.COM GROUP, INC.",WSPI,NASDAQ,$10,"6,800,000","$68,000,000",11/2/2005,http://www.nasdaq.com/markets/ipos/company/webcom-group-inc-105057-44275
229,"VISTULA COMMUNICATIONS SERVICES, INC.",VSTL,OTCBB,$1,"34,197,488","$34,197,488",12/30/2005,http://www.nasdaq.com/markets/ipos/company/vistula-communications-services-inc-635130-43952
230,NUCRYST PHARMACEUTICALS CORP.,NCSTV,NASDAQ,$10,"4,500,000","$45,000,000",12/22/2005,http://www.nasdaq.com/markets/ipos/company/nucryst-pharmaceuticals-corp-692289-47568
231,"PIXELPLUS CO., LTD.",PXPL,NASDAQ,$8,"4,500,000","$36,000,000",12/21/2005,http://www.nasdaq.com/markets/ipos/company/pixelplus-co-ltd-692376-47589
232,"MAJESTIC CAPITAL, LTD.",CRMH,NASDAQ,$13,"8,850,000","$115,050,000",12/21/2005,http://www.nasdaq.com/markets/ipos/company/majestic-capital-ltd-685704-46524
233,"DEI HOLDINGS, INC.",DEIX,NASDAQ,$16,"9,375,000","$150,000,000",12/16/2005,http://www.nasdaq.com/markets/ipos/company/dei-holdings-inc-683716-46100
234,"AMERICAN APPAREL, INC",EDA-U,American Stock Exchange,$8,"15,000,000","$120,000,000",12/16/2005,http://www.nasdaq.com/markets/ipos/company/american-apparel-inc-685793-46535
235,ENVISION HEALTHCARE CORP,EMS,New York Stock Exchange,$14,"7,800,000","$109,200,000",12/16/2005,http://www.nasdaq.com/markets/ipos/company/envision-healthcare-corp-690787-47307
236,EMERGENCY MEDICAL SERVICES L.P.,EMS,New York Stock Exchange,$14,"8,100,000","$113,400,000",12/16/2005,http://www.nasdaq.com/markets/ipos/company/emergency-medical-services-lp-681549-45747
237,STAR MARITIME ACQUISITION CORP.,SEAU,American Stock Exchange,$10,"18,867,500","$188,675,000",12/16/2005,http://www.nasdaq.com/markets/ipos/company/star-maritime-acquisition-corp-676458-44986
238,SPANSION INC.,SPSN,NASDAQ,$12,"42,200,000","$506,400,000",12/16/2005,http://www.nasdaq.com/markets/ipos/company/spansion-inc-670365-44086
239,"PERNIX SLEEP, INC.",SOMX,NASDAQ,$11,"5,000,000","$55,000,000",12/15/2005,http://www.nasdaq.com/markets/ipos/company/pernix-sleep-inc-687503-46828
240,REPUBLIC PROPERTY TRUST,RPB,New York Stock Exchange,$12,"20,000,000","$240,000,000",12/15/2005,http://www.nasdaq.com/markets/ipos/company/republic-property-trust-686241-46608
241,CAROLINA NATIONAL CORP,CNCP,NASDAQ,$16,"1,000,000","$16,000,000",12/15/2005,http://www.nasdaq.com/markets/ipos/company/carolina-national-corp-94764-46737
242,"COPA HOLDINGS, S.A.",CPA,New York Stock Exchange,$20,"15,750,000","$315,000,000",12/15/2005,http://www.nasdaq.com/markets/ipos/company/copa-holdings-sa-691895-47471
243,"SUNTECH POWER HOLDINGS CO., LTD.",STP,New York Stock Exchange,$15,"26,380,000","$395,700,000",12/14/2005,http://www.nasdaq.com/markets/ipos/company/suntech-power-holdings-co-ltd-689645-47153
244,"DEALERTRACK TECHNOLOGIES, INC",TRAK,NASDAQ,$17,"10,000,000","$170,000,000",12/13/2005,http://www.nasdaq.com/markets/ipos/company/dealertrack-technologies-inc-681016-45660
245,CAPITALSOUTH BANCORP,CAPB,NASDAQ,$18.75,"600,000","$11,250,000",12/13/2005,http://www.nasdaq.com/markets/ipos/company/capitalsouth-bancorp-687355-46808
246,SCOPUS VIDEO NETWORKS LTD.,SCOP,NASDAQ,$7,"4,500,000","$31,500,000",12/13/2005,http://www.nasdaq.com/markets/ipos/company/scopus-video-networks-ltd-691228-47368
247,CURRENCYSHARES EURO TRUST,FXE,New York Stock Exchange,$117.34,"17,000,000","$1,994,780,000",12/9/2005,http://www.nasdaq.com/markets/ipos/company/currencyshares-euro-trust-676234-44945
248,INNOVATIVE CARD TECHNOLOGIES INC,INVC,OTCBB,$1,"3,178,331","$3,178,331",12/9/2005,http://www.nasdaq.com/markets/ipos/company/innovative-card-technologies-inc-652560-41721
249,BASIC ENERGY SERVICES INC,BAS,New York Stock Exchange,$20,"12,500,000","$250,000,000",12/9/2005,http://www.nasdaq.com/markets/ipos/company/basic-energy-services-inc-74487-45936
250,CYNOSURE INC,CYNO,NASDAQ,$15,"5,000,000","$75,000,000",12/9/2005,http://www.nasdaq.com/markets/ipos/company/cynosure-inc-316365-45909
251,"WIDERTHAN CO., LTD.",WTHN,NASDAQ,$12,"6,000,000","$72,000,000",12/9/2005,http://www.nasdaq.com/markets/ipos/company/widerthan-co-ltd-691234-47369
252,IGATE COMPUTER SYSTEMS LTD,PTI,New York Stock Exchange,$20.34,"6,875,000","$139,837,500",12/8/2005,http://www.nasdaq.com/markets/ipos/company/igate-computer-systems-ltd-691120-47356
253,"VOCUS, INC.",VOCS,NASDAQ,$9,"5,000,000","$45,000,000",12/7/2005,http://www.nasdaq.com/markets/ipos/company/vocus-inc-677164-45066
254,"DCP MIDSTREAM PARTNERS, LP",DPM,New York Stock Exchange,$21.50,"9,000,000","$193,500,000",12/2/2005,http://www.nasdaq.com/markets/ipos/company/dcp-midstream-partners-lp-685590-46501
255,"FORTUNET, INC.",FNET,NASDAQ,$9,"2,500,000","$22,500,000",1/31/2006,http://www.nasdaq.com/markets/ipos/company/fortunet-inc-685601-46506
256,"H&E EQUIPMENT SERVICES, INC.",HEES,NASDAQ,$18,"10,937,500","$196,875,000",1/31/2006,http://www.nasdaq.com/markets/ipos/company/he-equipment-services-inc-687973-46901
257,REGENCY ENERGY PARTNERS LP,RGNC,NASDAQ,$20,"13,750,000","$275,000,000",1/31/2006,http://www.nasdaq.com/markets/ipos/company/regency-energy-partners-lp-685427-46472
258,PERION NETWORK LTD.,MAIL,NASDAQ,$7.50,"2,500,000","$18,750,000",1/30/2006,http://www.nasdaq.com/markets/ipos/company/perion-network-ltd-688921-47054
259,"BOULDER BRANDS, INC.",BDSB,OTCBB,$8,"12,760,840","$102,086,720",1/27/2006,http://www.nasdaq.com/markets/ipos/company/boulder-brands-inc-678850-45343
260,BIGSTRING CORP,BSGC,OTCBB,$0.48,"15,212,670","$7,302,082",1/27/2006,http://www.nasdaq.com/markets/ipos/company/bigstring-corp-682571-46173
261,"CALUMET SPECIALTY PRODUCTS PARTNERS, L.P.",CLMT,NASDAQ,$21.50,"6,450,000","$138,675,000",1/26/2006,http://www.nasdaq.com/markets/ipos/company/calumet-specialty-products-partners-lp-687530-46832
262,CHIPOTLE MEXICAN GRILL INC,CMG,New York Stock Exchange,$22,"7,878,788","$173,333,336",1/26/2006,http://www.nasdaq.com/markets/ipos/company/chipotle-mexican-grill-inc-113519-47029
263,ALTUS PHARMACEUTICALS INC.,ALTU,NASDAQ,$15,"7,000,000","$105,000,000",1/26/2006,http://www.nasdaq.com/markets/ipos/company/altus-pharmaceuticals-inc-688092-46926
264,"ARGYLE SECURITY, INC.",ARGLU,OTCBB,$8,"3,625,000","$29,000,000",1/25/2006,http://www.nasdaq.com/markets/ipos/company/argyle-security-inc-679625-45452
265,"TRAFFIC.COM, INC.",TRFC,NASDAQ,$12,"6,550,000","$78,600,000",1/25/2006,http://www.nasdaq.com/markets/ipos/company/trafficcom-inc-180723-46222
266,"MAGYAR BANCORP, INC.",MGYR,NASDAQ,$10,"2,723,292","$27,232,920",1/24/2006,http://www.nasdaq.com/markets/ipos/company/magyar-bancorp-inc-685604-46507
267,"AMERICAN RAILCAR INDUSTRIES, INC.",ARII,NASDAQ,$21,"8,500,000","$178,500,000",1/20/2006,http://www.nasdaq.com/markets/ipos/company/american-railcar-industries-inc-693099-47700
268,CNX GAS CORP,CXG,New York Stock Exchange,$21.75,"27,936,667","$607,622,507",1/19/2006,http://www.nasdaq.com/markets/ipos/company/cnx-gas-corp-682710-45917
269,"WESTERN REFINING, INC.",WNR,New York Stock Exchange,$17,"22,500,000","$382,500,000",1/19/2006,http://www.nasdaq.com/markets/ipos/company/western-refining-inc-686460-46642
270,"LINN ENERGY, LLC",LINE,NASDAQ,$21,"11,750,000","$246,750,000",1/13/2006,http://www.nasdaq.com/markets/ipos/company/linn-energy-llc-676038-44903
271,"GRUBB & ELLIS REALTY ADVISORS, INC.",GAV'U,American Stock Exchange,$6,"20,833,334","$125,000,004",2/28/2006,http://www.nasdaq.com/markets/ipos/company/grubb-ellis-realty-advisors-inc-688703-47008
272,PACIFIC AIRPORT GROUP,PAC,New York Stock Exchange,$21,"29,025,652","$609,538,692",2/24/2006,http://www.nasdaq.com/markets/ipos/company/pacific-airport-group-696834-48261
273,KYN CAPITAL GROUP INC,NTYN,OTCBB,$5,"500,000","$2,500,000",2/24/2006,http://www.nasdaq.com/markets/ipos/company/kyn-capital-group-inc-657572-42460
274,LIQUIDITY SERVICES INC,LQDT,NASDAQ,$10,"7,687,362","$76,873,620",2/23/2006,http://www.nasdaq.com/markets/ipos/company/liquidity-services-inc-408021-47276
